,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,season
47,Fulham,2,38,38,"3,420",38.0,53,1.39,170,118,72.9,5,13,20,9,23.7,7,7,0,0,0.0,2020_21
48,Leeds United,2,38,38,"3,420",38.0,54,1.42,198,145,76.8,18,5,15,12,31.6,9,8,1,0,11.1,2020_21
49,Leicester City,1,38,38,"3,420",38.0,50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,0.0,2020_21
50,Liverpool,3,38,38,"3,420",38.0,42,1.11,140,97,72.9,20,9,9,12,31.6,8,4,1,3,20.0,2020_21
51,Manchester City,3,38,38,"3,420",38.0,32,0.84,100,67,76.0,27,5,6,19,50.0,10,8,2,0,20.0,2020_21
52,Manchester Utd,2,38,38,"3,420",38.0,44,1.16,141,98,71.6,21,11,6,13,34.2,4,4,0,0,0.0,2020_21
53,Newcastle Utd,2,38,38,"3,420",38.0,62,1.63,188,128,69.1,12,9,17,7,18.4,5,4,1,0,20.0,2020_21
54,Sheffield Utd,1,38,38,"3,420",38.0,63,1.66,206,145,70.9,7,2,29,5,13.2,4,3,0,1,0.0,2020_21
55,Southampton,2,38,38,"3,420",38.0,68,1.79,178,110,66.3,12,7,19,9,23.7,9,8,1,0,11.1,2020_21
56,Tottenham,1,38,38,"3,420",38.0,45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,0.0,2020_21
57,West Brom,2,38,38,"3,420",38.0,76,2.0,240,166,71.3,5,11,22,6,15.8,11,7,1,3,12.5,2020_21
58,West Ham,2,38,38,"3,420",38.0,47,1.24,147,103,70.1,19,8,11,11,28.9,5,3,1,1,25.0,2020_21
59,Wolves,2,38,38,"3,420",38.0,52,1.37,152,102,70.4,12,9,17,10,26.3,8,7,1,0,12.5,2020_21
60,Arsenal,2,38,38,"3,420",38.0,48,1.26,147,100,70.7,22,3,13,13,34.2,6,5,0,1,0.0,2021_22
61,Aston Villa,3,38,38,"3,420",38.0,54,1.42,149,96,66.4,13,6,19,11,28.9,6,4,1,1,20.0,2021_22
62,Brentford,3,38,38,"3,420",38.0,56,1.47,179,125,71.5,13,7,18,9,23.7,5,5,0,0,0.0,2021_22
63,Brighton,2,38,38,"3,419",38.0,44,1.16,146,102,71.9,12,15,11,11,28.9,4,3,0,1,0.0,2021_22
64,Burnley,2,38,38,"3,420",38.0,53,1.39,178,127,73.0,7,14,17,9,23.7,5,5,0,0,0.0,2021_22
65,Chelsea,2,38,38,"3,420",38.0,33,0.87,115,83,76.5,21,11,6,16,42.1,6,6,0,0,0.0,2021_22
66,Crystal Palace,2,38,38,"3,420",38.0,46,1.21,144,99,70.1,11,15,12,12,31.6,4,3,1,0,25.0,2021_22
67,Everton,2,38,38,"3,420",38.0,66,1.74,188,127,66.0,11,6,21,8,21.1,2,2,0,0,0.0,2021_22
