,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,season
60,Arsenal,2,38.0,48,5,0,3,1,47.6,0.29,0.6,0.02,151,533,28.3,1037,175,36.0,33.8,251.0,63.7,48.3,487.0,32.0,6.6,61.0,1.61,7.3,2021_22
61,Aston Villa,3,38.0,54,4,2,5,2,46.5,0.29,-5.5,-0.14,157,442,35.5,880,176,36.5,33.6,303.0,39.9,34.8,513.0,40.0,7.8,34.0,0.89,15.4,2021_22
62,Brentford,3,38.0,56,5,1,8,2,49.4,0.25,-4.6,-0.12,298,768,38.8,1355,184,43.2,36.2,300.0,61.0,45.2,626.0,37.0,5.9,58.0,1.53,15.8,2021_22
63,Brighton,2,38.0,44,3,1,6,0,42.5,0.28,-1.5,-0.04,161,568,28.3,1317,188,31.4,23.9,241.0,64.3,48.8,535.0,60.0,11.2,36.0,0.95,9.3,2021_22
64,Burnley,2,38.0,53,5,1,7,2,47.5,0.25,-3.5,-0.09,346,870,39.8,850,154,69.8,50.8,304.0,91.1,61.3,642.0,46.0,7.2,84.0,2.21,17.0,2021_22
65,Chelsea,2,38.0,33,6,0,2,1,31.6,0.22,-0.4,-0.01,91,222,41.0,892,183,19.1,26.4,202.0,25.7,24.9,419.0,30.0,7.2,54.0,1.42,18.8,2021_22
66,Crystal Palace,2,38.0,46,3,2,11,2,38.5,0.24,-5.5,-0.14,130,375,34.7,994,222,26.8,29.8,272.0,40.1,33.1,525.0,28.0,5.3,43.0,1.13,11.2,2021_22
67,Everton,2,38.0,66,2,2,13,5,55.9,0.29,-5.1,-0.13,292,844,34.6,927,124,65.2,48.9,298.0,80.5,59.5,568.0,26.0,4.6,37.0,0.97,10.7,2021_22
68,Leeds United,2,38.0,79,5,3,10,1,62.4,0.26,-15.6,-0.41,109,413,26.4,1108,276,27.5,30.4,292.0,37.0,33.2,445.0,23.0,5.2,47.0,1.24,23.7,2021_22
69,Leicester City,2,38.0,59,7,1,15,1,56.9,0.26,-1.1,-0.03,196,491,39.9,1021,174,35.7,25.8,302.0,41.7,36.7,551.0,16.0,2.9,39.0,1.03,10.7,2021_22
70,Liverpool,2,38.0,26,0,0,3,1,26.6,0.26,1.6,0.04,116,268,43.3,1294,224,16.2,22.7,185.0,31.4,32.7,360.0,22.0,6.1,92.0,2.42,17.1,2021_22
71,Manchester City,2,38.0,26,1,0,1,0,25.8,0.29,-0.2,-0.01,88,188,46.8,1018,171,15.7,25.7,147.0,19.0,26.2,310.0,21.0,6.8,58.0,1.53,19.0,2021_22
72,Manchester Utd,1,38.0,57,3,0,4,3,55.1,0.29,1.1,0.03,103,315,32.7,623,134,30.0,30.9,299.0,42.8,35.9,525.0,8.0,1.5,25.0,0.66,14.0,2021_22
73,Newcastle Utd,3,38.0,62,5,0,8,2,52.3,0.29,-7.7,-0.2,302,726,41.6,864,127,50.3,44.5,344.0,84.6,57.5,521.0,30.0,5.8,18.0,0.47,10.5,2021_22
74,Norwich City,2,38.0,84,9,1,9,2,67.6,0.27,-14.4,-0.38,179,528,33.9,1065,215,36.3,34.5,311.0,45.3,38.5,617.0,17.0,2.8,33.0,0.87,17.3,2021_22
75,Southampton,3,38.0,67,2,0,12,2,57.2,0.31,-7.8,-0.21,196,612,32.0,884,149,46.4,38.4,285.0,70.9,49.3,573.0,42.0,7.3,33.0,0.87,14.0,2021_22
76,Tottenham,1,38.0,40,2,1,5,1,37.6,0.26,-1.4,-0.04,115,279,41.2,672,161,29.8,31.0,282.0,28.0,26.4,567.0,33.0,5.8,45.0,1.18,14.2,2021_22
77,Watford,2,38.0,77,6,1,6,3,60.3,0.29,-13.7,-0.36,267,829,32.2,932,123,61.1,44.7,310.0,83.9,57.0,642.0,27.0,4.2,49.0,1.29,15.9,2021_22
78,West Ham,2,38.0,51,2,2,8,2,48.0,0.27,-1.0,-0.03,202,553,36.5,748,167,50.5,46.3,305.0,57.4,42.9,610.0,29.0,4.8,12.0,0.32,5.5,2021_22
79,Wolves,2,38.0,43,9,1,2,1,49.3,0.25,7.3,0.19,122,423,28.8,863,220,35.6,36.1,275.0,42.2,36.5,562.0,44.0,7.8,41.0,1.08,14.2,2021_22
80,Arsenal,1,38.0,43,3,0,6,1,40.0,0.28,-2.0,-0.05,109,429,25.4,924,174,36.6,33.3,185.0,49.2,42.8,381.0,22.0,5.8,43.0,1.13,16.1,2022_23
81,Aston Villa,2,38.0,46,5,1,9,4,42.8,0.25,0.8,0.02,214,585,36.6,1247,153,37.0,37.6,265.0,46.8,38.3,528.0,65.0,12.3,76.0,2.0,14.2,2022_23
82,Bournemouth,2,38.0,71,6,0,16,3,63.6,0.29,-4.4,-0.11,231,591,39.1,847,190,44.0,31.9,353.0,61.8,44.1,739.0,40.0,5.4,30.0,0.79,10.5,2022_23
83,Brentford,1,38.0,46,2,1,9,3,48.1,0.24,5.1,0.13,347,882,39.3,1361,160,50.9,39.5,275.0,68.7,51.0,598.0,52.0,8.7,54.0,1.42,15.7,2022_23
84,Brighton,2,38.0,53,6,0,6,6,42.7,0.27,-4.3,-0.11,94,279,33.7,1067,151,21.4,28.9,247.0,20.6,23.2,355.0,27.0,7.6,32.0,0.84,12.3,2022_23
85,Chelsea,2,38.0,47,1,1,8,3,47.0,0.3,3.0,0.08,95,290,32.8,1087,198,18.2,27.6,248.0,37.1,31.9,460.0,24.0,5.2,63.0,1.66,13.7,2022_23
86,Crystal Palace,3,38.0,49,4,0,8,3,44.7,0.26,-1.3,-0.03,153,446,34.3,930,189,33.7,32.3,273.0,48.7,37.6,539.0,29.0,5.4,40.0,1.05,13.1,2022_23
87,Everton,2,38.0,57,5,2,4,0,60.4,0.3,3.4,0.09,274,814,33.7,1012,156,57.7,34.9,325.0,70.8,52.4,589.0,23.0,3.9,52.0,1.37,5.0,2022_23
88,Fulham,2,38.0,53,7,1,8,2,60.1,0.28,9.1,0.24,140,438,32.0,1176,193,28.4,46.0,280.0,37.1,35.0,490.0,36.0,7.3,48.0,1.26,14.0,2022_23
89,Leeds United,2,38.0,78,5,1,7,1,64.1,0.32,-12.9,-0.34,124,520,23.8,883,214,40.8,41.1,275.0,58.2,44.1,475.0,36.0,7.6,69.0,1.82,11.6,2022_23
90,Leicester City,2,38.0,68,4,4,8,5,55.4,0.29,-7.6,-0.2,132,497,26.6,1004,203,34.5,37.2,311.0,48.6,38.6,558.0,36.0,6.5,48.0,1.26,10.3,2022_23
91,Liverpool,2,38.0,47,2,0,0,2,54.1,0.33,9.1,0.24,118,285,41.4,1258,217,18.4,24.3,215.0,24.7,29.9,400.0,23.0,5.8,89.0,2.34,9.0,2022_23
92,Manchester City,2,38.0,33,3,1,4,1,30.3,0.3,-1.7,-0.05,128,287,44.6,1242,163,18.9,28.0,181.0,28.7,30.4,312.0,20.0,6.4,40.0,1.05,15.7,2022_23
93,Manchester Utd,1,38.0,43,2,2,6,1,41.3,0.27,-0.7,-0.02,141,449,31.4,909,128,37.0,32.3,302.0,37.4,31.7,526.0,15.0,2.9,32.0,0.84,14.8,2022_23
94,Newcastle Utd,2,38.0,33,2,0,8,2,33.2,0.24,2.2,0.06,126,378,33.3,714,246,32.2,20.7,230.0,64.3,48.5,441.0,35.0,7.9,74.0,1.95,12.4,2022_23
95,Nott'ham Forest,3,38.0,68,6,2,9,0,60.1,0.3,-7.9,-0.21,237,712,33.3,957,185,51.0,43.2,338.0,66.3,47.5,621.0,35.0,5.6,38.0,1.0,17.0,2022_23
96,Southampton,2,38.0,73,2,1,8,5,46.3,0.29,-21.7,-0.57,234,742,31.5,1115,173,50.5,36.5,303.0,59.1,44.9,548.0,42.0,7.7,55.0,1.45,13.5,2022_23
97,Tottenham,2,38.0,63,3,1,7,1,55.1,0.3,-6.9,-0.18,113,342,33.0,804,180,31.0,30.2,283.0,32.9,29.5,515.0,25.0,4.9,45.0,1.18,15.2,2022_23
98,West Ham,2,38.0,55,4,0,4,1,53.2,0.29,-0.8,-0.02,212,553,38.3,715,167,54.7,33.4,302.0,53.6,40.8,560.0,31.0,5.5,26.0,0.68,10.3,2022_23
99,Wolves,2,38.0,58,2,0,6,1,52.2,0.28,-4.8,-0.13,130,464,28.0,992,196,29.8,32.9,283.0,59.4,45.1,577.0,48.0,8.3,29.0,0.76,8.0,2022_23
