,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,2,38,38,"3,420",38.0,48,1.26,193,144,78.8,14,14,10,10,26.3,8,7,1,0,12.5
Aston Villa,4,38,38,"3,420",38.0,67,1.76,182,115,65.9,9,8,21,7,18.4,6,5,1,0,16.7
Bournemouth,2,38,38,"3,420",38.0,65,1.71,192,126,68.8,9,7,22,5,13.2,6,5,1,0,16.7
Brighton,1,38,38,"3,420",38.0,54,1.42,168,116,69.0,9,14,15,9,23.7,2,2,0,0,0.0
Burnley,1,38,38,"3,420",38.0,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20.0
Chelsea,2,38,38,"3,420",38.0,54,1.42,115,64,54.8,20,6,12,9,23.7,2,2,0,0,0.0
Crystal Palace,2,38,38,"3,420",38.0,50,1.32,172,124,70.9,11,10,17,10,26.3,1,0,0,1,
Everton,1,38,38,"3,420",38.0,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0.0
Leicester City,1,38,38,"3,420",38.0,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20.0
Liverpool,2,38,38,"3,418",38.0,33,0.87,107,75,70.1,32,3,3,15,39.5,1,1,0,0,0.0
Manchester City,2,38,38,"3,418",38.0,35,0.92,110,76,70.9,26,3,9,17,44.7,3,3,0,0,0.0
Manchester Utd,1,38,38,"3,420",38.0,36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,0.0
Newcastle Utd,1,38,38,"3,420",38.0,58,1.53,195,139,71.3,11,11,16,11,28.9,2,2,0,0,0.0
Norwich City,3,38,38,"3,420",38.0,75,1.97,210,135,66.2,5,6,27,5,13.2,7,4,3,0,42.9
Sheffield Utd,2,38,38,"3,420",38.0,39,1.03,139,99,72.7,14,12,12,13,34.2,3,1,1,1,50.0
Southampton,2,38,38,"3,420",38.0,60,1.58,168,108,66.1,15,7,16,9,23.7,4,3,1,0,25.0
Tottenham,2,38,38,"3,420",38.0,47,1.24,181,134,76.8,16,11,11,8,21.1,7,5,2,0,28.6
Watford,1,38,38,"3,420",38.0,64,1.68,178,116,68.5,8,10,20,9,23.7,9,8,1,0,11.1
West Ham,4,38,38,"3,420",38.0,62,1.63,187,127,69.5,10,9,19,7,18.4,6,5,1,0,16.7
Wolves,1,38,38,"3,420",38.0,40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,0,66.7
