,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,51,7,1,3,1,53.5,0.26,3.5,0.09,159,478,33.3,1093,227,29.2,31.7,280,56.8,45.5,489,16,3.3,48,1.26,12.9
Bournemouth,3,38.0,70,5,2,6,3,55.2,0.30,-11.8,-0.31,191,512,37.3,744,203,40.9,36.6,318,65.4,48.7,596,28,4.7,30,0.79,14.3
Brighton,2,38.0,60,10,1,5,0,55.9,0.28,-4.1,-0.11,328,822,39.9,776,109,62.8,42.7,358,93.6,59.4,561,20,3.6,13,0.34,11.6
Burnley,2,38.0,68,2,2,8,4,58.0,0.28,-6.0,-0.16,381,957,39.8,848,95,74.6,48.2,353,91.8,63.0,643,14,2.2,43,1.13,16.4
Cardiff City,1,38.0,69,4,1,12,0,68.2,0.30,-0.8,-0.02,337,1076,31.3,876,51,86.6,53.9,319,99.4,65.6,536,15,2.8,46,1.21,15.4
Chelsea,2,38.0,39,1,0,6,0,36.8,0.28,-2.2,-0.06,123,250,49.2,950,165,15.9,25.9,272,36.4,37.1,395,16,4.1,35,0.92,18.1
Crystal Palace,3,38.0,53,4,1,7,1,46.7,0.26,-5.3,-0.14,245,769,31.9,793,159,58.6,43.6,347,87.6,60.4,635,27,4.3,25,0.66,13.6
Everton,1,38.0,46,2,2,9,2,45.3,0.30,1.3,0.03,253,724,34.9,979,152,54.0,42.3,291,67.0,53.7,431,14,3.2,40,1.05,17.3
Fulham,3,38.0,81,5,1,10,2,72.4,0.30,-6.6,-0.17,332,777,42.7,834,137,57.7,37.3,356,83.1,54.8,629,9,1.4,42,1.11,16.0
Huddersfield,3,38.0,76,7,3,7,1,61.1,0.29,-13.9,-0.37,339,815,41.6,1062,109,55.9,40.7,281,78.6,56.0,426,30,7.0,34,0.89,13.3
Leicester City,1,38.0,48,5,0,4,0,40.0,0.26,-8.0,-0.21,282,639,44.1,935,127,44.3,37.7,310,72.6,52.3,534,12,2.2,25,0.66,12.5
Liverpool,1,38.0,22,0,0,5,0,27.2,0.29,5.2,0.14,129,311,41.5,1072,212,20.1,28.8,216,44.0,41.3,385,16,4.2,59,1.55,16.6
Manchester City,1,38.0,23,4,1,5,0,23.3,0.25,0.3,0.01,98,239,41.0,919,188,17.1,26.8,189,43.4,42.9,282,19,6.7,41,1.08,16.9
Manchester Utd,1,38.0,54,6,2,7,3,49.9,0.26,-1.1,-0.03,265,620,42.7,769,153,46.6,38.2,332,78.9,54.6,524,9,1.7,25,0.66,13.4
Newcastle Utd,1,38.0,48,6,2,9,1,42.3,0.27,-4.7,-0.12,250,708,35.3,850,140,51.1,38.9,323,84.8,57.9,651,43,6.6,33,0.87,12.0
Southampton,3,38.0,65,2,0,6,3,54.0,0.30,-8.0,-0.21,213,714,29.8,709,103,65.6,42.8,287,86.8,58.8,546,20,3.7,29,0.76,11.6
Tottenham,3,38.0,39,3,1,7,3,47.7,0.28,11.7,0.31,183,464,39.4,1089,191,28.8,24.7,288,52.1,43.1,514,16,3.1,40,1.05,15.4
Watford,1,38.0,59,4,2,6,3,55.5,0.30,-0.5,-0.01,340,941,36.1,942,98,69.9,45.9,308,91.9,63.2,575,31,5.4,72,1.89,16.9
West Ham,1,38.0,55,4,0,10,1,62.7,0.31,8.7,0.23,306,825,37.1,917,155,59.0,43.0,309,91.9,61.3,554,29,5.2,16,0.42,12.1
Wolves,3,38.0,46,3,1,6,4,39.4,0.26,-2.6,-0.07,218,552,39.5,593,105,52.4,39.1,291,82.8,50.5,508,15,3.0,18,0.47,12.1
