,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
437,Tomáš Souček,cz CZE,MF,West Ham,24,1995,11.6,3,20,7,35.0,1.73,0.61,0.15,0.43,12.8,0,0,0,2.8,2.8,0.14,0.2,0.2,Matches
438,Çağlar Söyüncü,tr TUR,DF,Leicester City,23,1996,33.7,1,17,5,29.4,0.50,0.15,0.06,0.20,10.3,0,0,0,2.1,2.1,0.12,-1.1,-1.1,Matches
439,Dennis Srbeny,de GER,"MF,FW",Norwich City,25,1994,0.5,1,2,1,50.0,3.83,1.91,0.50,1.00,7.8,0,0,0,0.5,0.5,0.26,0.5,0.5,Matches
440,Jack Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,0,5,2,40.0,0.29,0.12,0.00,0.00,12.3,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
441,Junior Stanislas,eng ENG,"MF,FW",Bournemouth,29,1989,7.9,3,17,6,35.3,2.15,0.76,0.12,0.33,20.4,3,1,1,2.1,1.4,0.08,0.9,0.6,Matches
442,Jed Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
443,Dale Stephens,eng ENG,MF,Brighton,30,1989,28.1,0,19,2,10.5,0.68,0.07,0.00,0.00,25.6,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
444,Jack Stephens,eng ENG,DF,Southampton,25,1994,27.2,1,6,1,16.7,0.22,0.04,0.17,1.00,9.2,0,0,0,1.0,1.0,0.17,0.0,0.0,Matches
445,Raheem Sterling,eng ENG,FW,Manchester City,24,1994,29.5,20,97,36,37.1,3.29,1.22,0.21,0.56,14.0,1,0,2,18.2,16.4,0.17,1.8,3.6,Matches
446,Enda Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,2,22,4,18.2,0.59,0.11,0.09,0.50,17.8,0,0,0,1.3,1.3,0.06,0.7,0.7,Matches
447,Marco Stiepermann,de GER,MF,Norwich City,28,1991,13.1,0,19,6,31.6,1.45,0.46,0.00,0.00,17.3,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches
448,John Stones,eng ENG,DF,Manchester City,25,1994,12.5,0,6,1,16.7,0.48,0.08,0.00,0.00,9.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
449,Isaac Success,ng NGA,"FW,MF",Watford,23,1996,0.8,0,1,1,100.0,1.29,1.29,0.00,0.00,10.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
450,Ki Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
451,Andrew Surman,eng ENG,MF,Bournemouth,32,1986,2.6,0,1,0,0.0,0.38,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
452,Sam Surridge,eng ENG,"FW,MF",Bournemouth,21,1998,0.3,0,2,0,0.0,6.67,0.00,0.00,,11.9,0,0,0,0.5,0.5,0.26,-0.5,-0.5,Matches
453,Japhet Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,0,3,1,33.3,0.51,0.17,0.00,0.00,27.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
454,Matt Targett,eng ENG,"DF,MF",Aston Villa,23,1995,25.5,1,7,4,57.1,0.27,0.16,0.14,0.25,16.5,1,0,0,0.4,0.4,0.06,0.6,0.6,Matches
455,James Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,2,21,5,23.8,0.55,0.13,0.10,0.40,9.1,0,0,0,2.1,2.1,0.10,-0.1,-0.1,Matches
456,Charlie Taylor,eng ENG,DF,Burnley,25,1993,21.6,0,1,0,0.0,0.05,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
457,Neil Taylor,wls WAL,DF,Aston Villa,30,1989,12.1,0,3,0,0.0,0.25,0.00,0.00,,15.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
458,Nathan Tella,ng NGA,FW,Southampton,20,1999,0.0,0,1,1,100.0,30.00,30.00,0.00,0.00,17.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
459,Alexander Tettey,no NOR,"MF,DF",Norwich City,33,1986,26.0,1,23,3,13.0,0.89,0.12,0.04,0.33,24.7,0,0,0,0.8,0.8,0.04,0.2,0.2,Matches
460,Jordan Thomas,eng ENG,FW,Norwich City,18,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
461,Luke Thomas,eng ENG,"MF,DF",Leicester City,18,2001,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
462,Max Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
463,Youri Tielemans,be BEL,MF,Leicester City,22,1997,31.4,3,56,13,23.2,1.78,0.41,0.05,0.23,23.8,0,0,0,2.7,2.7,0.05,0.3,0.3,Matches
464,Kieran Tierney,sct SCO,"DF,MF",Arsenal,22,1997,11.0,1,6,2,33.3,0.55,0.18,0.17,0.50,20.6,0,0,0,0.2,0.2,0.04,0.8,0.8,Matches
465,James Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,1,9,2,22.2,0.51,0.11,0.11,0.50,8.9,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches
466,Fikayo Tomori,eng ENG,DF,Chelsea,21,1997,14.3,1,7,3,42.9,0.49,0.21,0.14,0.33,14.6,0,0,0,0.4,0.4,0.06,0.6,0.6,Matches
467,Lucas Torreira,uy URU,MF,Arsenal,23,1996,16.8,1,21,6,28.6,1.25,0.36,0.05,0.17,18.8,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
468,Cenk Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,1,4,2,50.0,2.03,1.02,0.25,0.50,12.4,0,0,0,0.5,0.5,0.13,0.5,0.5,Matches
469,Cenk Tosun,tr TUR,FW,Everton,28,1991,3.2,1,11,3,27.3,3.40,0.93,0.09,0.33,14.2,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
470,Andros Townsend,eng ENG,"FW,MF",Crystal Palace,28,1991,14.4,1,12,5,41.7,0.83,0.35,0.08,0.20,26.1,1,0,0,0.4,0.4,0.03,0.6,0.6,Matches
471,Adama Traoré,es ESP,"FW,DF",Wolves,23,1996,28.9,4,43,12,27.9,1.49,0.41,0.09,0.33,19.8,0,0,0,3.8,3.8,0.09,0.2,0.2,Matches
472,Mark Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
473,Trézéguet,eg EGY,"FW,MF",Aston Villa,24,1994,21.7,6,50,17,34.0,2.31,0.78,0.12,0.35,17.4,4,0,0,4.7,4.7,0.09,1.3,1.3,Matches
474,Leandro Trossard,be BEL,"FW,MF",Brighton,24,1994,22.3,5,41,11,26.8,1.83,0.49,0.12,0.45,16.0,0,0,0,5.0,5.0,0.12,0.0,0.0,Matches
475,Tom Trybull,de GER,MF,Norwich City,26,1993,12.6,0,11,2,18.2,0.88,0.16,0.00,0.00,18.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
476,Axel Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
477,Yan Valery,tn TUN,DF,Southampton,20,1999,8.7,0,3,2,66.7,0.35,0.23,0.00,0.00,15.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
478,Jesús Vallejo,es ESP,DF,Wolves,22,1997,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
479,Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38.0,5,31,14,45.2,0.82,0.37,0.16,0.36,11.8,0,0,0,2.9,2.9,0.09,2.1,2.1,Matches
480,Jamie Vardy,eng ENG,FW,Leicester City,32,1987,33.7,23,84,37,44.0,2.49,1.10,0.23,0.51,13.1,0,4,5,19.2,15.3,0.19,3.8,3.7,Matches
481,Indiana Vassilev,us USA,"FW,MF",Aston Villa,18,2001,0.6,0,1,0,0.0,1.76,0.00,0.00,,21.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
482,Jan Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,1,4,2,50.0,0.22,0.11,0.25,0.50,12.0,0,0,0,0.4,0.4,0.10,0.6,0.6,Matches
483,Jannik Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,1,12,5,41.7,0.72,0.30,0.08,0.20,11.7,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches
484,Rúben Vinagre,pt POR,"MF,DF",Wolves,20,1999,7.2,0,5,0,0.0,0.69,0.00,0.00,,13.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
485,Jake Vokins,eng ENG,DF,Southampton,19,2000,1.0,0,1,0,0.0,1.00,0.00,0.00,,31.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
486,Mario Vrančić,ba BIH,MF,Norwich City,30,1989,7.1,1,14,3,21.4,1.98,0.42,0.07,0.33,19.2,2,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
487,Matěj Vydra,cz CZE,FW,Burnley,27,1992,9.1,2,18,10,55.6,1.98,1.10,0.11,0.20,13.1,0,0,0,3.8,3.8,0.21,-1.8,-1.8,Matches
488,Theo Walcott,eng ENG,"MF,FW",Everton,30,1989,14.3,2,31,10,32.3,2.17,0.70,0.06,0.20,16.1,0,0,0,3.1,3.1,0.10,-1.1,-1.1,Matches
489,Kyle Walker,eng ENG,DF,Manchester City,29,1990,26.6,1,14,3,21.4,0.53,0.11,0.07,0.33,25.0,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
490,Kyle Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,0,2,0,0.0,0.26,0.00,0.00,,15.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
491,Kyle Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,0,1,0,0.0,0.37,0.00,0.00,,22.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
492,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,0,7,1,14.3,0.21,0.03,0.00,0.00,15.5,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
493,Victor Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
494,Joel Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,0,5,1,20.0,0.19,0.04,0.00,0.00,15.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
495,James Ward-Prowse,eng ENG,"MF,DF",Southampton,24,1994,38.0,5,54,23,42.6,1.42,0.61,0.07,0.17,23.9,24,1,3,7.3,4.8,0.09,-2.3,-0.8,Matches
496,Kelland Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
497,Adam Webster,eng ENG,DF,Brighton,24,1995,29.6,3,16,7,43.8,0.54,0.24,0.19,0.43,13.6,0,0,0,1.3,1.3,0.08,1.7,1.7,Matches
498,Danny Welbeck,eng ENG,"FW,MF",Watford,28,1990,9.1,2,22,9,40.9,2.41,0.99,0.09,0.22,11.0,0,0,0,3.9,3.9,0.18,-1.9,-1.9,Matches
499,Ashley Westwood,eng ENG,MF,Burnley,29,1990,35.0,2,13,3,23.1,0.37,0.09,0.15,0.67,20.2,2,0,0,1.1,1.1,0.08,0.9,0.9,Matches
500,Connor Wickham,eng ENG,"FW,MF",Crystal Palace,26,1993,1.1,1,3,2,66.7,2.81,1.87,0.33,0.50,11.2,0,0,0,1.4,1.4,0.46,-0.4,-0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
501,Georginio Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,4,36,15,41.7,1.10,0.46,0.11,0.27,16.2,0,0,0,2.6,2.6,0.07,1.4,1.4,Matches
502,Jetro Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,2,14,6,42.9,0.84,0.36,0.14,0.33,19.6,0,0,0,0.6,0.6,0.04,1.4,1.4,Matches
503,Brandon Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,1,6,2,33.3,0.54,0.18,0.17,0.50,13.1,0,0,0,1.0,1.0,0.16,0.0,0.0,Matches
504,Neco Williams,wls WAL,DF,Liverpool,18,2001,2.6,0,7,1,14.3,2.74,0.39,0.00,0.00,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
505,Willian,br BRA,"FW,MF",Chelsea,30,1988,28.9,9,67,25,37.3,2.32,0.87,0.07,0.20,20.0,9,4,4,7.6,4.5,0.07,1.4,0.5,Matches
506,Joe Willock,eng ENG,"MF,FW",Arsenal,19,1999,9.5,1,15,4,26.7,1.58,0.42,0.07,0.25,16.7,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
507,Jack Wilshere,eng ENG,MF,West Ham,27,1992,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
