,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,3,45,11,24.4,1.27,0.31,0.07,0.27,20.7,0,0,0,2.6,2.6,0.06,0.4,0.4,Matches
2,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,27.3,21,116,41,35.3,4.25,1.50,0.16,0.46,15.0,3,2,2,18.1,16.5,0.14,2.9,2.5,Matches
3,Nathan Aké,nl NED,DF,Bournemouth,23,1995,37.9,4,25,8,32.0,0.66,0.21,0.16,0.50,9.4,0,0,0,3.4,3.4,0.13,0.6,0.6,Matches
4,Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,18.1,2,19,7,36.8,1.05,0.39,0.11,0.29,21.4,0,0,0,1.2,1.2,0.06,0.8,0.8,Matches
5,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,0,19,5,26.3,0.59,0.15,0.00,0.00,14.1,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
6,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,1,29,9,31.0,1.06,0.33,0.03,0.11,25.1,9,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
7,Alisson,br BRA,GK,Liverpool,25,1992,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Dele Alli,eng ENG,MF,Tottenham,22,1996,20.3,5,39,19,48.7,1.92,0.94,0.13,0.26,14.4,0,0,0,4.8,4.8,0.12,0.2,0.2,Matches
9,Miguel Almirón,py PAR,MF,Newcastle Utd,24,1994,8.4,0,19,8,42.1,2.25,0.95,0.00,0.00,20.1,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches
10,Marcos Alonso,es ESP,DF,Chelsea,27,1990,30.7,2,45,7,15.6,1.47,0.23,0.04,0.29,19.2,8,0,0,3.4,3.4,0.08,-1.4,-1.4,Matches
11,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,7.1,0,4,1,25.0,0.56,0.14,0.00,0.00,19.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
12,Luke Amos,eng ENG,MF,Tottenham,21,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Felipe Anderson,br BRA,"MF,FW",West Ham,25,1993,33.8,9,58,24,41.4,1.72,0.71,0.16,0.38,18.7,5,0,0,5.5,5.5,0.09,3.5,3.5,Matches
