,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,48,7,0,9,0,51.8,0.23,3.8,0.10,92,364,25.3,964,233,24.8,27.9,314,39.8,35.5,606,25,4.1,42,1.11,15.6
Aston Villa,4,38.0,67,5,1,9,1,51.6,0.25,-14.4,-0.38,240,665,36.1,862,179,50.1,40.0,343,67.9,49.4,628,23,3.7,28,0.74,9.9
Bournemouth,2,38.0,65,5,4,4,0,62.6,0.30,-2.4,-0.06,185,616,30.0,866,190,47.5,29.2,295,69.5,53.2,603,20,3.3,26,0.68,13.3
Brighton,1,38.0,54,2,0,7,2,50.2,0.29,-1.8,-0.05,207,412,50.2,1201,255,25.3,29.0,274,39.4,33.4,526,20,3.8,26,0.68,13.7
Burnley,1,38.0,50,4,0,7,1,45.7,0.25,-3.3,-0.09,263,870,30.2,883,180,67.6,47.1,304,89.8,63.7,623,52,8.3,48,1.26,14.9
Chelsea,2,38.0,54,2,2,9,3,37.5,0.31,-13.5,-0.36,102,302,33.8,1028,168,22.0,31.4,226,33.6,32.7,389,21,5.4,38,1.00,16.0
Crystal Palace,2,38.0,50,0,1,5,2,55.7,0.34,7.7,0.20,237,710,33.4,848,180,53.4,48.9,313,82.1,57.4,651,23,3.5,27,0.71,13.2
Everton,1,38.0,56,3,3,5,3,50.2,0.32,-2.8,-0.07,270,730,37.0,1104,195,51.3,40.1,275,59.6,46.8,510,24,4.7,25,0.66,13.4
Leicester City,1,38.0,41,8,0,5,2,44.3,0.26,5.3,0.14,180,398,45.2,951,159,31.5,33.0,241,40.7,36.1,507,14,2.8,34,0.89,17.2
Liverpool,2,38.0,33,1,1,2,1,27.1,0.25,-4.9,-0.13,121,288,42.0,1017,191,21.9,27.4,239,27.2,30.3,426,17,4.0,77,2.03,19.2
Manchester City,2,38.0,35,3,1,4,1,34.1,0.29,0.1,0.00,92,227,40.5,1047,195,16.6,28.0,167,31.7,31.6,323,15,4.6,64,1.69,11.0
Manchester Utd,1,38.0,36,3,1,8,1,34.7,0.25,-0.3,-0.01,83,262,31.7,672,153,28.4,30.6,268,26.5,29.0,489,10,2.0,22,0.58,15.0
Newcastle Utd,1,38.0,58,2,3,8,2,63.0,0.32,7.0,0.18,288,750,38.4,749,119,60.7,42.0,340,86.8,58.3,686,21,3.1,26,0.68,11.6
Norwich City,3,38.0,75,4,1,11,3,66.5,0.29,-5.5,-0.14,173,622,27.8,1292,211,36.0,22.7,349,45.0,38.6,682,30,4.4,26,0.68,11.3
Sheffield Utd,2,38.0,39,1,0,2,0,43.7,0.32,4.7,0.12,270,872,31.0,816,110,74.4,51.2,272,97.4,69.1,572,20,3.5,23,0.61,7.0
Southampton,2,38.0,60,3,1,5,1,54.7,0.31,-4.3,-0.11,229,706,32.4,824,103,59.8,41.6,255,83.5,56.2,578,29,5.0,39,1.03,12.8
Tottenham,2,38.0,47,5,1,4,2,53.0,0.26,8.0,0.21,167,484,34.5,798,160,39.7,33.3,292,57.2,41.7,574,23,4.0,24,0.63,17.6
Watford,1,38.0,64,8,3,7,3,62.6,0.31,1.6,0.04,302,923,32.7,912,118,71.7,46.9,295,91.2,62.2,581,30,5.2,55,1.45,15.9
West Ham,4,38.0,62,5,2,6,3,60.5,0.30,1.5,0.04,288,743,38.8,773,142,62.7,44.6,291,88.7,58.9,600,12,2.0,22,0.58,15.0
Wolves,1,38.0,40,1,1,6,1,35.5,0.26,-3.5,-0.09,250,528,47.3,578,127,53.1,39.0,283,78.1,48.7,530,20,3.8,11,0.29,11.7
