,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,0,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,7,49,24,49.0,2.16,1.06,0.14,0.29,13.3,0,0,0,7.1,7.1,0.15,-0.1,-0.1,Matches
3,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,20,2001,20.3,1,13,4,30.8,0.64,0.20,0.08,0.25,17.6,0,0,0,0.6,0.6,0.04,0.4,0.4,Matches
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,1,7,1,14.3,0.32,0.05,0.14,1.00,8.8,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,2,5,2,40.0,0.49,0.20,0.40,1.00,7.3,0,0,0,0.7,0.7,0.13,1.3,1.3,Matches
6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,12.6,1,4,1,25.0,0.32,0.08,0.25,1.00,16.3,0,0,0,0.5,0.5,0.12,0.5,0.5,Matches
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,1,25,6,24.0,1.47,0.35,0.04,0.17,19.3,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2,51,15,29.4,1.61,0.47,0.04,0.13,24.0,8,0,0,2.4,2.4,0.05,-0.4,-0.4,Matches
9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Allan,br BRA,MF,Everton,30,1991,24.3,0,7,3,42.9,0.29,0.12,0.00,0.00,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
11,Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,1,3,2,66.7,0.41,0.27,0.00,0.00,21.4,0,1,1,1.6,0.8,0.26,-0.6,-0.8,Matches
12,Dele Alli,eng ENG,"MF,FW",Everton,25,1996,3.8,0,3,0,0.0,0.80,0.00,0.00,,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
13,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,19.6,0,0,0,1.7,1.7,0.05,-0.7,-0.7,Matches
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,4,43,10,23.3,1.79,0.42,0.09,0.40,18.7,9,0,0,2.8,2.8,0.07,1.2,1.2,Matches
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,0,1,1,100.0,0.22,0.22,0.00,0.00,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,0,2,1,50.0,0.08,0.04,0.00,0.00,34.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,0,8,3,37.5,0.25,0.09,0.00,0.00,15.3,1,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,10,82,27,32.9,2.48,0.82,0.12,0.37,14.9,0,0,1,10.8,10.2,0.12,-0.8,-0.2,Matches
19,Cameron Archer,eng ENG,"FW,MF",Aston Villa,20,2001,0.3,0,1,0,0.0,3.33,0.00,0.00,,12.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,2,47,14,29.8,2.99,0.89,0.04,0.14,17.2,0,0,0,4.5,4.5,0.10,-2.5,-2.5,Matches
