,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,3,38.0,39,2,0,3,4,36.0,0.26,1.0,0.03,81,303,26.7,1021,206,16.7,28.2,238,55.5,42.3,518,24,4.6,37,0.97,
Aston Villa,1,38.0,46,5,2,4,1,49.2,0.24,4.2,0.11,247,639,38.7,1056,177,45.0,37.1,255,64.3,47.0,613,42,6.9,34,0.89,14.2
Brighton,2,38.0,46,6,0,8,2,35.9,0.24,-8.1,-0.21,193,522,37.0,1280,179,32.1,28.8,233,47.6,39.1,476,28,5.9,33,0.87,10.6
Burnley,3,38.0,55,3,0,8,1,49.1,0.26,-4.9,-0.13,317,841,37.7,846,143,69.1,54.5,298,85.9,59.7,600,34,5.7,78,2.05,10.0
Chelsea,3,38.0,36,3,1,5,1,31.4,0.26,-3.6,-0.10,93,253,36.8,1066,169,17.7,25.4,231,27.7,26.6,412,20,4.9,31,0.82,15.2
Crystal Palace,2,38.0,66,3,1,9,0,51.2,0.28,-14.8,-0.39,226,669,33.8,775,158,51.0,48.9,323,84.8,56.3,622,20,3.2,26,0.68,23.3
Everton,3,38.0,48,3,1,5,1,47.8,0.28,0.8,0.02,268,692,38.7,1092,177,47.6,35.6,271,63.5,47.7,560,25,4.5,35,0.92,12.3
Fulham,2,38.0,53,7,0,3,1,54.5,0.29,2.5,0.07,150,402,37.3,800,179,32.5,30.2,258,55.0,39.5,518,27,5.2,33,0.87,14.0
Leeds United,2,38.0,54,8,1,11,2,49.9,0.21,-2.1,-0.06,105,319,32.9,1166,306,19.1,27.4,298,32.2,28.9,477,28,5.9,20,0.53,11.9
Leicester City,1,38.0,50,4,0,9,2,42.2,0.29,-5.8,-0.15,159,425,37.4,1038,181,32.1,33.2,210,43.8,37.9,484,20,4.1,19,0.50,13.6
Liverpool,3,38.0,42,4,1,6,0,43.9,0.29,1.9,0.05,87,237,36.7,1107,196,16.4,31.3,209,26.8,29.5,403,21,5.2,95,2.50,17.0
Manchester City,3,38.0,32,8,0,3,1,32.0,0.23,1.0,0.03,108,271,39.9,998,171,20.2,28.4,168,41.1,37.3,333,19,5.7,44,1.16,16.6
Manchester Utd,2,38.0,44,4,1,9,2,39.3,0.25,-2.7,-0.07,86,266,32.3,647,154,28.1,29.7,266,31.6,29.4,479,11,2.3,47,1.24,16.8
Newcastle Utd,2,38.0,62,4,1,4,3,53.8,0.26,-5.2,-0.14,245,671,36.5,820,159,52.8,32.5,338,70.4,50.0,645,27,4.2,21,0.55,12.6
Sheffield Utd,1,38.0,63,3,0,8,3,54.3,0.26,-5.7,-0.15,263,817,32.2,866,128,64.5,45.5,281,91.8,64.5,578,33,5.7,34,0.89,12.8
Southampton,2,38.0,68,8,1,3,1,56.2,0.27,-10.8,-0.28,139,569,24.4,1106,159,38.4,35.3,236,61.0,41.9,507,29,5.7,45,1.18,15.6
Tottenham,1,38.0,45,10,0,3,3,45.6,0.24,3.6,0.10,159,408,39.0,814,180,38.6,32.4,264,35.6,28.1,590,23,3.9,24,0.63,13.1
West Brom,2,38.0,76,7,2,8,3,68.0,0.25,-5.0,-0.13,301,916,32.9,1019,183,63.7,41.8,308,86.7,57.1,670,20,3.0,38,1.00,7.0
West Ham,2,38.0,47,3,0,7,4,42.0,0.27,-1.0,-0.03,250,648,38.6,780,159,54.9,40.4,296,74.3,51.4,565,26,4.6,17,0.45,10.8
Wolves,2,38.0,52,7,1,9,3,46.2,0.25,-2.8,-0.07,161,389,41.4,557,156,43.1,,,,,,,,,,
