,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,0,18,5,27.8,0.91,0.25,0.00,0.00,21.1,3,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,10.7,0,0,0,5.9,5.9,0.18,0.1,0.1,Matches
3,Che Adams,sct SCO,FW,Southampton,24,1996,29.6,9,55,31,56.4,1.86,1.05,0.16,0.29,13.8,0,0,0,9.8,9.8,0.18,-0.8,-0.8,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,0,18,5,27.8,0.55,0.15,0.00,0.00,10.5,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
5,Adrián,es ESP,GK,Liverpool,33,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,32,1988,6.2,4,17,10,58.8,2.74,1.61,0.18,0.30,14.6,0,1,2,3.5,1.9,0.11,0.5,1.1,Matches
7,Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,2,14,4,28.6,0.47,0.14,0.14,0.50,24.6,1,0,0,1.2,1.2,0.09,0.8,0.8,Matches
8,Rayan Aït-Nouri,dz ALG,DF,Wolves,19,2001,15.6,1,15,6,40.0,0.96,0.38,0.07,0.17,19.8,0,0,0,0.6,0.6,0.04,0.4,0.4,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,2,13,4,30.8,0.42,0.13,0.15,0.50,9.8,0,0,0,1.9,1.9,0.15,0.1,0.1,Matches
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,1,3,1,33.3,0.34,0.11,0.33,1.00,15.5,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
11,Marc Albrighton,eng ENG,"DF,FW",Leicester City,30,1989,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,21.2,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,1,22,5,22.7,1.07,0.24,0.05,0.20,23.3,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,1,10,3,30.0,0.40,0.12,0.10,0.33,8.5,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2,55,12,21.8,1.63,0.36,0.04,0.17,24.9,18,0,0,2.6,2.6,0.05,-0.6,-0.6,Matches
16,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,28,1992,27.3,2,25,8,32.0,0.91,0.29,0.08,0.25,19.0,0,0,0,1.6,1.6,0.06,0.4,0.4,Matches
17,Alisson,br BRA,GK,Liverpool,27,1992,33.0,1,1,1,100.0,0.03,0.03,1.00,1.00,8.4,0,0,0,0.1,0.1,0.09,0.9,0.9,Matches
18,Allan,br BRA,MF,Everton,29,1991,22.8,0,7,2,28.6,0.31,0.09,0.00,0.00,22.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
