,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
19,Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,0,12,4,33.3,1.74,0.58,0.00,0.00,15.4,0,0,0,2.0,2.0,0.17,-2.0,-2.0,Matches
20,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26,1994,27.0,4,33,14,42.4,1.22,0.52,0.12,0.29,19.2,1,0,0,3.2,3.2,0.10,0.8,0.8,Matches
21,Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.6,5,0,0,1.8,1.8,0.08,0.2,0.2,Matches
22,Steven Alzate,co COL,MF,Brighton,21,1998,10.0,1,7,2,28.6,0.70,0.20,0.14,0.50,18.7,0,0,0,0.8,0.8,0.12,0.2,0.2,Matches
23,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8.0,1,3,1,33.3,0.37,0.12,0.33,1.00,10.6,0,0,0,0.4,0.4,0.12,0.6,0.6,Matches
24,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,19,2000,23.2,0,7,2,28.6,0.30,0.09,0.00,0.00,19.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,1,13,3,23.1,0.43,0.10,0.08,0.33,16.4,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,Felipe Anderson,br BRA,"FW,MF",West Ham,27,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,10,63,22,34.9,2.87,1.00,0.16,0.45,13.4,0,0,0,12.9,12.9,0.22,-2.9,-2.9,Matches
29,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,4,55,11,20.0,1.79,0.36,0.07,0.36,21.6,0,0,0,2.7,2.7,0.05,1.3,1.3,Matches
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,10,55,19,34.5,2.12,0.73,0.15,0.42,14.0,0,2,2,10.2,8.6,0.16,-0.2,-0.6,Matches
33,Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,2,15,6,40.0,0.84,0.34,0.13,0.33,17.5,0,0,0,1.1,1.1,0.07,0.9,0.9,Matches
34,Charlie Austin,eng ENG,"FW,MF",West Brom,31,1989,1.5,0,3,0,0.0,1.96,0.00,0.00,,20.3,0,0,0,0.4,0.4,0.15,-0.4,-0.4,Matches
35,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,28,1991,23.3,1,26,11,42.3,1.12,0.47,0.04,0.09,17.6,0,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
36,Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,0,24,6,25.0,0.64,0.16,0.00,0.00,18.7,0,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches
37,César Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,1,11,4,36.4,0.45,0.16,0.09,0.25,16.9,0,0,0,0.7,0.7,0.06,0.3,0.3,Matches
38,Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,0,2,0,0.0,0.20,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
39,Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,1,8,2,25.0,0.60,0.15,0.13,0.50,10.0,0,0,0,0.7,0.7,0.08,0.3,0.3,Matches
40,George Baldock,gr GRE,DF,Sheffield Utd,27,1993,31.0,0,13,2,15.4,0.42,0.06,0.00,0.00,16.8,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
41,Gareth Bale,wls WAL,FW,Tottenham,31,1989,10.2,11,38,19,50.0,3.72,1.86,0.29,0.58,18.7,7,0,0,5.8,5.8,0.17,5.2,5.2,Matches
42,Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,17,105,46,43.8,3.10,1.36,0.14,0.33,13.2,0,2,2,18.2,16.6,0.16,-1.2,-1.6,Matches
43,Phil Bardsley,sct SCO,DF,Burnley,35,1985,3.0,0,3,0,0.0,0.99,0.00,0.00,,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
44,Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17.0,3,38,11,28.9,2.23,0.65,0.08,0.27,18.7,2,0,0,3.1,3.1,0.08,-0.1,-0.1,Matches
45,Ross Barkley,eng ENG,"FW,MF",Chelsea,26,1993,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,35.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
46,Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,3,37,12,32.4,2.50,0.81,0.05,0.17,16.8,0,1,1,4.1,3.3,0.09,-1.1,-1.3,Matches
47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,22,1997,21.6,9,56,25,44.6,2.59,1.16,0.16,0.36,17.5,0,0,0,5.9,5.9,0.11,3.1,3.1,Matches
48,Kyle Bartley,eng ENG,DF,West Brom,29,1991,28.7,3,14,5,35.7,0.49,0.17,0.21,0.60,9.0,0,0,0,2.5,2.5,0.18,0.5,0.5,Matches
49,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32,1988,28.6,0,10,1,10.0,0.35,0.03,0.00,0.00,13.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
50,Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,2,12,6,50.0,1.48,0.74,0.17,0.33,17.0,0,0,0,1.6,1.6,0.13,0.4,0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Jan Bednarek,pl POL,DF,Southampton,24,1996,34.4,1,10,5,50.0,0.29,0.15,0.10,0.20,10.6,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
52,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23,1997,5.8,1,2,1,50.0,0.34,0.17,0.50,1.00,18.4,0,0,0,0.4,0.4,0.18,0.6,0.6,Matches
53,Héctor Bellerín,es ESP,"DF,MF",Arsenal,25,1995,23.2,1,15,5,33.3,0.65,0.22,0.07,0.20,20.3,0,0,0,0.8,0.8,0.05,0.2,0.2,Matches
54,Saïd Benrahma,dz ALG,"FW,MF",West Ham,24,1995,15.5,1,35,12,34.3,2.26,0.78,0.03,0.08,21.2,1,0,0,2.6,2.6,0.07,-1.6,-1.6,Matches
55,Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,0,2,0,0.0,0.68,0.00,0.00,,24.2,1,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
56,Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,10,71,33,46.5,3.52,1.64,0.14,0.30,12.5,0,0,0,8.3,8.3,0.12,1.7,1.7,Matches
57,Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,0,1,0,0.0,0.80,0.00,0.00,,8.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
58,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,15.1,2,19,8,42.1,1.25,0.53,0.11,0.25,21.5,1,0,0,1.2,1.2,0.06,0.8,0.8,Matches
59,Sander Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,1,9,1,11.1,0.72,0.08,0.00,0.00,18.0,0,1,1,1.2,0.4,0.05,-0.2,-0.4,Matches
60,Steven Bergwijn,nl NED,"FW,MF",Tottenham,22,1997,13.4,1,15,6,40.0,1.12,0.45,0.07,0.17,17.1,0,0,0,2.0,2.0,0.13,-1.0,-1.0,Matches
61,Bernard,br BRA,"MF,FW",Everton,27,1992,5.1,1,6,2,33.3,1.19,0.40,0.17,0.50,22.5,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
62,Bernardo,br BRA,"DF,MF",Brighton,25,1995,2.3,0,4,0,0.0,1.75,0.00,0.00,,7.7,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
63,Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,0,8,3,37.5,0.28,0.10,0.00,0.00,19.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
64,Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,1,42,3,7.1,1.22,0.09,0.02,0.33,26.5,2,0,0,1.4,1.4,0.03,-0.4,-0.4,Matches
65,Jayden Bogle,eng ENG,"DF,MF",Sheffield Utd,20,2000,12.3,2,17,7,41.2,1.38,0.57,0.12,0.29,13.1,0,0,0,1.9,1.9,0.11,0.1,0.1,Matches
66,Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,1,15,3,20.0,0.72,0.14,0.07,0.33,13.3,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
67,Jarrod Bowen,eng ENG,"FW,MF",West Ham,23,1996,28.5,8,55,16,29.1,1.93,0.56,0.15,0.50,16.4,0,0,0,7.1,7.1,0.13,0.9,0.9,Matches
68,Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,1,16,5,31.3,1.37,0.43,0.06,0.20,21.1,4,0,0,0.8,0.8,0.05,0.2,0.2,Matches
69,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,20,2000,12.5,0,24,7,29.2,1.91,0.56,0.00,0.00,21.8,1,0,0,1.8,1.8,0.07,-1.8,-1.8,Matches
70,Nathan Broadhead,wls WAL,FW,Everton,22,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
71,Josh Brownhill,eng ENG,MF,Burnley,24,1995,31.3,0,34,7,20.6,1.09,0.22,0.00,0.00,21.9,7,0,0,1.9,1.9,0.06,-1.9,-1.9,Matches
72,Joe Bryan,eng ENG,"DF,MF",Fulham,26,1993,7.4,1,8,2,25.0,1.08,0.27,0.13,0.50,21.9,1,0,0,0.6,0.6,0.07,0.4,0.4,Matches
73,Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,1,3,1,33.3,0.27,0.09,0.33,1.00,7.7,0,0,0,0.9,0.9,0.31,0.1,0.1,Matches
74,Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,14.1,1,25,6,24.0,1.77,0.43,0.04,0.17,15.6,0,0,0,2.1,2.1,0.08,-1.1,-1.1,Matches
75,Dan Burn,eng ENG,DF,Brighton,28,1992,22.9,1,17,6,35.3,0.74,0.26,0.06,0.17,14.4,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,David Button,eng ENG,GK,West Brom,31,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,Oskar Buur,dk DEN,DF,Wolves,22,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
79,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
80,Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20.0,1,11,3,27.3,0.55,0.15,0.09,0.33,12.5,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
81,Tom Cairney,sct SCO,MF,Fulham,29,1991,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,21.0,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches
82,Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,16,83,46,55.4,2.60,1.44,0.19,0.35,12.2,0,0,0,16.3,16.3,0.20,-0.3,-0.3,Matches
83,João Cancelo,pt POR,"DF,MF",Manchester City,26,1994,25.5,2,35,11,31.4,1.37,0.43,0.06,0.18,22.5,0,0,0,1.6,1.6,0.05,0.4,0.4,Matches
84,Ian Carlo Poveda,eng ENG,MF,Leeds United,20,2000,3.9,0,5,3,60.0,1.27,0.76,0.00,0.00,17.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
85,Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,1,14,2,14.3,3.21,0.46,0.07,0.50,14.3,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
86,Scott Carson,eng ENG,GK,Manchester City,34,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
87,Fabio Carvalho,pt POR,"MF,FW",Fulham,17,2002,2.8,1,9,5,55.6,3.18,1.76,0.11,0.20,15.4,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
88,Matty Cash,pl POL,DF,Aston Villa,22,1997,26.4,0,9,2,22.2,0.34,0.08,0.00,0.00,22.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
89,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Timothy Castagne,be BEL,DF,Leicester City,24,1995,26.1,2,8,3,37.5,0.31,0.12,0.25,0.67,10.9,0,0,0,1.1,1.1,0.14,0.9,0.9,Matches
91,Jonny Castro,es ESP,"MF,DF",Wolves,26,1994,5.5,0,1,0,0.0,0.18,0.00,0.00,,15.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
92,Ivan Cavaleiro,pt POR,FW,Fulham,26,1993,27.5,3,45,15,33.3,1.64,0.55,0.04,0.13,18.1,1,1,2,6.4,4.8,0.11,-3.4,-2.8,Matches
93,Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,10,34,15,44.1,2.23,0.98,0.29,0.67,11.4,0,0,0,8.0,8.0,0.24,2.0,2.0,Matches
94,Dani Ceballos,es ESP,MF,Arsenal,23,1996,17.9,0,13,2,15.4,0.72,0.11,0.00,0.00,21.7,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
95,Calum Chambers,eng ENG,DF,Arsenal,25,1995,8.4,0,8,0,0.0,0.96,0.00,0.00,,16.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
96,Ben Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,3,27,10,37.0,1.06,0.39,0.11,0.30,14.4,0,0,0,2.4,2.4,0.09,0.6,0.6,Matches
97,Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,0,4,1,25.0,1.14,0.28,0.00,0.00,22.2,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
98,Andreas Christensen,dk DEN,DF,Chelsea,24,1996,15.2,0,3,0,0.0,0.20,0.00,0.00,,12.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
99,Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,16,2003,0.2,0,1,0,0.0,4.50,0.00,0.00,,23.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
100,Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,21.0,1,8,2,25.0,0.38,0.10,0.13,0.50,11.1,0,0,0,0.7,0.7,0.08,0.3,0.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,0,4,1,25.0,0.31,0.08,0.00,0.00,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
102,Conor Coady,eng ENG,DF,Wolves,27,1993,36.7,1,7,2,28.6,0.19,0.05,0.14,0.50,11.6,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches
103,Séamus Coleman,ie IRL,"DF,MF",Everton,31,1988,17.9,0,12,4,33.3,0.67,0.22,0.00,0.00,19.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
104,Aaron Connolly,ie IRL,FW,Brighton,20,2000,8.8,2,23,8,34.8,2.62,0.91,0.09,0.25,14.0,0,0,0,4.0,4.0,0.17,-2.0,-2.0,Matches
105,Liam Cooper,sct SCO,DF,Leeds United,28,1991,24.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.9,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Matches
106,Theo Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
107,Jack Cork,eng ENG,MF,Burnley,31,1989,15.0,0,5,0,0.0,0.33,0.00,0.00,,22.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
108,Hélder Costa,ao ANG,"MF,FW",Leeds United,26,1994,12.8,3,16,6,37.5,1.25,0.47,0.19,0.50,14.8,0,0,0,2.2,2.2,0.14,0.8,0.8,Matches
109,Vladimír Coufal,cz CZE,DF,West Ham,27,1992,33.9,0,15,5,33.3,0.44,0.15,0.00,0.00,16.5,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
110,Aaron Cresswell,eng ENG,DF,West Ham,30,1989,35.2,0,19,4,21.1,0.54,0.11,0.00,0.00,25.4,11,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
111,Patrick Cutrone,it ITA,FW,Wolves,22,1998,0.3,0,1,0,0.0,3.60,0.00,0.00,,10.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
112,Stuart Dallas,nir NIR,"MF,DF",Leeds United,29,1991,37.9,8,48,18,37.5,1.27,0.48,0.17,0.44,20.5,0,0,0,4.2,4.2,0.09,3.8,3.8,Matches
113,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15.0,1,4,1,25.0,0.27,0.07,0.25,1.00,10.2,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
114,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
115,Ben Davies,wls WAL,DF,Tottenham,27,1993,15.0,0,3,0,0.0,0.20,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
116,Tom Davies,eng ENG,MF,Everton,22,1998,15.8,0,7,0,0.0,0.44,0.00,0.00,,25.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
117,Keinan Davis,eng ENG,"FW,MF",Aston Villa,22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.50,10.6,0,0,0,1.5,1.5,0.16,-0.5,-0.5,Matches
118,Leif Davis,eng ENG,DF,Leeds United,20,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,Craig Dawson,eng ENG,DF,West Ham,30,1990,21.4,3,16,5,31.3,0.75,0.23,0.19,0.60,10.1,0,0,0,1.9,1.9,0.12,1.1,1.1,Matches
120,Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,22.2,6,77,24,31.2,3.47,1.08,0.05,0.17,21.0,10,2,3,9.3,6.9,0.09,-3.3,-2.9,Matches
121,Liam Delap,eng ENG,FW,Manchester City,17,2003,0.4,0,1,0,0.0,2.25,0.00,0.00,,13.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
122,Fabian Delph,eng ENG,"MF,DF",Everton,30,1989,3.0,0,1,0,0.0,0.34,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
123,Leander Dendoncker,be BEL,"MF,DF",Wolves,25,1995,27.8,1,31,8,25.8,1.11,0.29,0.03,0.13,15.0,0,0,0,3.1,3.1,0.10,-2.1,-2.1,Matches
124,Mbaye Diagne,sn SEN,FW,West Brom,28,1991,13.2,3,25,9,36.0,1.89,0.68,0.12,0.33,10.4,0,0,0,6.6,6.6,0.27,-3.6,-3.6,Matches
125,Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,0,1,1,100.0,0.54,0.54,0.00,0.00,25.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
126,Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,11.3,0,7,1,14.3,0.62,0.09,0.00,0.00,22.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
127,Grady Diangana,cd COD,"MF,FW",West Brom,22,1998,13.7,1,14,4,28.6,1.02,0.29,0.07,0.25,17.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
128,Rúben Dias,pt POR,DF,Manchester City,23,1997,31.6,1,14,6,42.9,0.44,0.19,0.07,0.17,8.3,0,0,0,1.9,1.9,0.13,-0.9,-0.9,Matches
129,Eric Dier,eng ENG,DF,Tottenham,26,1994,28.0,0,14,2,14.3,0.50,0.07,0.00,0.00,22.2,8,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
130,Lucas Digne,fr FRA,"DF,MF",Everton,27,1993,29.8,0,13,0,0.0,0.44,0.00,0.00,,23.7,3,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
131,Issa Diop,fr FRA,DF,West Ham,23,1997,15.3,2,3,2,66.7,0.20,0.13,0.67,1.00,9.6,0,0,0,0.5,0.5,0.16,1.5,1.5,Matches
132,Moussa Djenepo,ml MLI,MF,Southampton,22,1998,13.8,1,14,2,14.3,1.02,0.15,0.07,0.50,20.2,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
133,Matt Doherty,ie IRL,DF,Tottenham,28,1992,13.8,0,3,1,33.3,0.22,0.07,0.00,0.00,16.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
134,Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,22.2,2,16,4,25.0,0.72,0.18,0.13,0.50,12.6,0,0,0,1.3,1.3,0.08,0.7,0.7,Matches
135,Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,27.1,2,18,5,27.8,0.66,0.18,0.11,0.40,17.4,0,0,0,2.3,2.3,0.13,-0.3,-0.3,Matches
136,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,13.9,1,3,1,33.3,0.22,0.07,0.33,1.00,9.2,0,0,0,0.3,0.3,0.11,0.7,0.7,Matches
138,Lewis Dunk,eng ENG,DF,Brighton,28,1991,32.6,5,32,14,43.8,0.98,0.43,0.16,0.36,15.2,3,0,0,2.2,2.2,0.07,2.8,2.8,Matches
139,Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3.0,1,7,1,14.3,2.33,0.33,0.14,1.00,11.5,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
140,Ederson,br BRA,GK,Manchester City,26,1993,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
